Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2024/3/21,4619,32445,3.61K,7.37M,$150.50M,$1.91M,$4.24M,$6.16M,,,
2024/3/22,3672,27430,3.61K,7.37M,$148.92M,$1.26M,$5.87M,$7.13M,,,
2024/3/23,3480,23635,3.62K,7.37M,$166.10M,$0.72M,$2.53M,$3.26M,,,
2024/3/24,3066,24032,3.62K,7.37M,$165.39M,$0.84M,$2.56M,$3.39M,,,
2024/3/25,2721,20793,3.63K,7.37M,$149.62M,$0.58M,$4.84M,$5.42M,,,
2024/3/26,2997,19332,3.63K,7.36M,$144.63M,$0.78M,$3.54M,$4.33M,,,
2024/3/27,2318,19366,3.63K,7.36M,$158.83M,$0.66M,$4.96M,$5.62M,,,
2024/3/28,2720,19429,3.63K,7.36M,$146.35M,$0.51M,$2.60M,$3.11M,,,
2024/3/29,2580,17384,3.63K,7.36M,$167.87M,$0.71M,$4.16M,$4.87M,,,
2024/3/30,2467,16149,3.64K,7.36M,$160.95M,$0.45M,$4.25M,$4.70M,,,
2024/3/31,2066,13353,3.64K,7.36M,$163.59M,$0.65M,$2.07M,$2.72M,,,
2024/4/1,4520,19536,3.64K,7.36M,$142.25M,$0.66M,$4.48M,$5.13M,,,
2024/4/2,3485,18685,3.64K,7.37M,$135.61M,$0.65M,$2.38M,$3.03M,,,
2024/4/3,2993,15959,3.64K,7.37M,$133.01M,$0.51M,$4.03M,$4.53M,,,
2024/4/4,2112,16823,3.64K,7.38M,$137.62M,$0.55M,$4.13M,$4.68M,,,
2024/4/5,3735,17992,3.64K,7.38M,$133.79M,$0.56M,$4.39M,$4.95M,,,
2024/4/6,4027,17387,3.65K,7.38M,$137.14M,$0.55M,$4.86M,$5.41M,,,
2024/4/7,2242,14770,3.65K,7.37M,$137.33M,$0.54M,$4.37M,$4.90M,,,
2024/4/8,2320,15411,3.64K,7.37M,$138.36M,$0.76M,$4.65M,$5.42M,,,
2024/4/9,2487,16234,3.64K,7.37M,$135.79M,$0.60M,$4.47M,$5.07M,,,
2024/4/10,3341,21099,3.65K,7.38M,$134.11M,$0.71M,$4.65M,$5.36M,,,
2024/4/11,4569,19375,3.65K,7.38M,$169.01M,$0.61M,$4.26M,$4.87M,,,
2024/4/12,3990,24367,3.66K,7.37M,$135.51M,$0.99M,$4.18M,$5.16M,,,
2024/4/13,3115,25461,3.65K,7.38M,$124.93M,$1.17M,$3.99M,$5.16M,,,
2024/4/14,2509,19246,3.65K,7.38M,$118.02M,$0.57M,$6.58M,$7.15M,,,
2024/4/15,2699,16185,3.66K,7.38M,$114.13M,$0.43M,$4.23M,$4.66M,,,
2024/4/16,2346,13447,3.66K,7.38M,$113.81M,$0.54M,$2.78M,$3.32M,,,
2024/4/17,2058,13802,3.66K,7.37M,$125.35M,$0.37M,$3.91M,$4.28M,,,
2024/4/18,2503,15401,3.66K,7.37M,$115.11M,$0.53M,$4.28M,$4.81M,,,
2024/4/19,2441,14804,3.66K,7.38M,$114.41M,$0.44M,$4.84M,$5.28M,,,
2024/4/20,2575,13470,3.66K,7.38M,$131.14M,$0.51M,$3.95M,$4.46M,,,
2024/4/21,2288,15029,3.66K,7.38M,$118.55M,$0.32M,$4.27M,$4.59M,,,
