pool,Fee Tier,Start Date,Expiry Date,Duration(Day),Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio,EfficientRatioB
Wrapped stUSR 27MAR2025,0.004,2024-12-23,2025-03-27,94,7-RWA,Stable,Resolv,1,0.267264879,60766940.48,403319.3188,413015.7727,8767.811279,8978.603755,6850475.949,0.053930482,0.1127336
USD0++ 27MAR2025,0.002,2024-10-16,2025-03-27,162,7-RWA,Stable,Usual,1,0.207664775,56535649.38,556904.7894,851732.7481,4842.650343,7406.371723,7385989.583,0.047816302,0.130643048
Corn SolvBTC Babylon 27FEB2025,0.0012,2024-12-23,2025-02-27,66,2-Restaking,BTC,SolvProtocol,1,0.07725876,50920615.77,17947.69533,21311.39575,390.1672897,463.291212,1141198.102,0.003320881,0.022411318
Lombard LBTC 27MAR2025,0.001,2024-09-30,2025-03-27,178,2-Restaking,BTC,Lombard,1,0.058919697,47287957.82,67873.67154,106866.0738,534.4383586,841.465148,2349848.016,0.006494989,0.049692313
Ethena sUSDE 26SEP2024,0.003,2024-05-20,2024-09-26,129,6-Stablecoins,Stable,Ethena,1,0.209136288,45571557.59,661943.8448,835056.944,5131.347634,6473.309644,8807883.855,0.051847208,0.193275901
Ethena sUSDE 26DEC2024,0.001,2024-07-17,2024-12-26,162,6-Stablecoins,Stable,Ethena,1,0.168416221,44234552.03,227766.2485,388989.5049,1405.964497,2401.169783,14485337.13,0.019813176,0.327466572
ether.fi weETH 26DEC2024,0.001,2024-04-10,2024-12-26,260,2-Restaking,ETH,Ether.fi,1,0.085387803,42911692.56,155012.9912,266711.1596,610.2873669,1050.043935,527601.3848,0.008931506,0.01229505
Puffer ETH 26DEC2024,0.001,2024-09-03,2024-12-26,114,2-Restaking,ETH,Puffer Finance,1,0.05368571,39235968.85,24152.76664,41865.74713,221.5850151,384.0894233,2185759.966,0.003573064,0.055708067
Ethena sUSDE 27FEB2025,0.003999999,2024-12-10,2025-02-27,79,6-Stablecoins,Stable,Ethena,1,0.20807598,39128419.42,339519.7854,369475.8554,5754.572633,6262.302634,11079919.9,0.058416376,0.283168093
Resolv USD 24APR2025,0.004,2025-01-24,2025-04-24,90,6-Stablecoins,Stable,Resolv,8453,0.251902083,38187213.28,86210.53308,86210.53308,5747.368872,5747.368872,5118466.815,0.054934347,0.134036144
Kelp rsETH 27JUN2024,0.001,2024-01-22,2024-06-27,157,2-Restaking,ETH,Kelp,1,0.287205974,37965658.73,190975.4367,533131.7238,1232.099592,3439.559508,4684013.889,0.033067758,0.12337502
