pool,Fee Tier,Start Date,Expiry Date,Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio*,EfficientRatioB**
USD0++ 27FEB2025,0.0035,10 Dec 2024,27 Feb 2025,7-RWA,Stable,Usual,1,0.2589667612516716,8559582.218744555,50986.08128423059,55446.870719906205,894.4926541093085,972.7521178930913,1109433.8788222147,0.041480356629257836,0.12961308746969857
Kelp rsETH 26SEP2024,0.003,20 May 2024,26 Sept 2024,2-Restaking,ETH,Kelp DAO,1,0.0936528318033333,8509418.880514333,17654.45723053592,26268.923274624023,141.23565784428737,210.15138619699218,247116.21829055186,0.009014159138122708,0.029040316590410398
Mellow ENA 27MAR2025,0.005,24 Sept 2024,27 Mar 2025,6-Stablecoins,Other,Ethena,1,0.4888515703869465,8474633.184104197,101166.17535545479,187378.37771363693,749.3790767070725,1387.9879830639773,474216.09353771136,0.05978024096294888,0.05595712324483788
weETH 27JUN2024,0.01,3 Apr 2024,27 Jun 2024,2-Restaking,ETH,Ether.fi,42161,0.3098556581912431,8316239.142876507,360609.1318122888,407368.79770164954,4292.9658549082,4849.628544067256,3932760.992537641,0.2128503507623138,0.4729013830616392
ether.fi weETH 26JUN2025,0.0005,7 Nov 2024,26 Jun 2025,2-Restaking,ETH,Ether.fi,1,0.037113752167003994,8052014.864967089,3855.03067743827,6197.446672644694,55.87000981794594,89.81806771948833,238475.02452058526,0.004071477172781804,0.0296168137441162
swETH 26DEC2024,0.0005,18 Jul 2023,26 Dec 2024,2-Restaking,ETH,Swell,1,0.03833520846144654,8009341.851188643,25162.292280457015,41397.701743556645,54.81980888988456,90.19107133672472,82339.4399856797,0.004110168057443948,0.01028042522288644
rswETH 26JUN2025,0.0005,15 Nov 2024,26 Jun 2025,2-Restaking,ETH,Swell,1,0.04636888926373429,7808746.974146706,2001.3541189124194,5813.628882054998,43.507698237226506,126.383236566413,185704.30552942143,0.005907462682485183,0.02378157547481734
Syrup USDC 24APR2025,0.0035,21 Jan 2025,24 Apr 2025,3-Lending,Stable,Syrup,1,0.15166090186221032,7717402.671002073,3023.559685572315,3858.3297093332408,201.570645704821,257.22198062221605,261197.31133702528,0.012165494911893478,0.033845235563315486
King Karak LRT 26SEP2024,0.001,10 Jul 2024,26 Sept 2024,2-Restaking,ETH,Ether.fi,1,0.09752450500557375,7639386.5237027425,16682.81440483089,41519.39791508164,213.88223595937038,532.2999732702774,1518077.9189096622,0.02543260373602368,0.19871725487374126
mPendle 27MAR2025,0.0015,20 Dec 2024,27 Mar 2025,8-Other,Other,mPendle,42161,0.047189885523507516,7580184.40030796,622.4064200549061,877.9615947590706,12.966800417810544,18.290866557480637,39079.35091515621,0.0008807392987971646,0.005155461773933697
